iter	Passed	Remaining
407	5380	7806
408	5394	7795
409	5409	7784
410	5423	7772
411	5437	7759
412	5451	7747
413	5465	7735
414	5479	7723
415	5489	7706
416	5504	7696
417	5517	7682
418	5531	7669
419	5545	7658
420	5560	7646
421	5575	7636
422	5589	7624
423	5604	7614
424	5616	7598
425	5627	7582
426	5640	7568
427	5650	7551
428	5660	7534
429	5670	7516
430	5681	7500
431	5691	7483
432	5701	7465
433	5715	7453
434	5724	7435
435	5734	7417
436	5744	7400
437	5753	7382
438	5766	7369
439	5781	7358
440	5796	7347
441	5814	7340
442	5828	7328
443	5845	7319
444	5859	7307
445	5875	7297
446	5888	7285
447	5903	7273
448	5915	7259
449	5926	7243
450	5937	7227
451	5951	7215
452	5960	7197
453	5969	7179
454	5978	7161
455	5988	7144
456	5998	7127
457	6008	7110
458	6018	7093
459	6027	7076
460	6037	7058
461	6047	7041
462	6056	7024
463	6066	7007
464	6075	6990
465	6085	6973
466	6097	6958
467	6107	6942
468	6116	6924
469	6125	6907
470	6134	6890
471	6144	6873
472	6153	6856
473	6163	6839
474	6172	6822
475	6182	6805
476	6192	6789
477	6201	6772
478	6212	6757
479	6221	6740
480	6236	6728
481	6250	6717
482	6265	6706
483	6280	6695
484	6293	6682
485	6307	6671
486	6323	6661
487	6337	6648
488	6350	6636
489	6366	6625
490	6380	6614
491	6402	6610
492	6418	6600
493	6437	6594
494	6455	6585
495	6469	6574
496	6485	6563
497	6501	6553
498	6516	6542
499	6528	6528
500	6541	6514
501	6553	6501
502	6563	6485
503	6572	6467
504	6581	6450
505	6590	6434
506	6601	6419
507	6613	6404
508	6622	6388
509	6632	6372
510	6642	6356
511	6652	6340
512	6662	6324
513	6672	6308
514	6681	6292
515	6690	6275
516	6700	6259
517	6710	6244
518	6719	6227
519	6728	6210
520	6738	6194
521	6752	6183
522	6766	6171
523	6780	6159
524	6795	6147
525	6808	6135
526	6821	6122
527	6836	6111
528	6848	6097
529	6861	6084
530	6874	6072
531	6884	6056
532	6894	6040
533	6904	6025
534	6914	6009
535	6923	5993
536	6932	5977
537	6944	5963
538	6954	5948
539	6964	5932
540	6975	5917
541	6985	5902
542	6995	5887
543	7004	5871
544	7013	5854
545	7022	5839
546	7032	5824
547	7042	5808
548	7052	5793
549	7062	5778
550	7073	5763
551	7083	5748
552	7093	5734
553	7103	5718
554	7113	5703
555	7123	5688
556	7133	5673
557	7142	5657
558	7152	5642
559	7161	5627
560	7171	5612
561	7181	5596
562	7191	5581
563	7201	5567
564	7210	5551
565	7220	5536
566	7230	5521
567	7240	5506
568	7250	5492
569	7259	5476
570	7268	5461
571	7279	5446
572	7289	5431
573	7298	5416
574	7307	5400
575	7317	5386
576	7333	5375
577	7347	5364
578	7362	5353
579	7377	5342
